idx,left_context,link_title,link_text,right_context,url,mention_in_page
8579,официален световен шампион по шах,13 юни,,Пожар опустошава значителна част от,,1886
8580,Пожар опустошава значителна част от,Ванкувър,,Канада 3 юли Карл Бенц,,1886
8581,значителна част от Ванкувър Канада,3 юли,,Карл Бенц официално представя пред,,1886
8582,пред публика триколесния Автомобил Бенц,7 октомври,,Испания премахва робството в Куба,,1886
8583,Бенц 7 октомври Испания премахва,робство,,о в Куба 28 октомври,,1886
8584,октомври Испания премахва робството в,Куба,,28 октомври Официално е открита,,1886
8585,Испания премахва робството в Куба,28 октомври,,Официално е открита Статуята на,,1886
8586,28 октомври Официално е открита,Статуя на Свободата,Статуята на Свободата,в Ню Йорк 11 ноември,,1886
8587,на Свободата в Ню Йорк,11 ноември,,Хайнрих Херц експериментално доказва съществуването,,1886
8588,в Ню Йорк 11 ноември,Хайнрих Херц,,експериментално доказва съществуването на електромагнитни,,1886
8589,Херц експериментално доказва съществуването на,електромагнитни вълни,,1 декември Под името Диал,,1886
8590,доказва съществуването на електромагнитни вълни,1 декември,,Под името Диал Скуеър е,,1886
8591,е създаден английският футболен клуб,Арсенал,,8 май Фармацевтът Джон Пембъртън,,1886
8592,създаден английският футболен клуб Арсенал,8 май,,Фармацевтът Джон Пембъртън създава газирана,,1886
8593,Събития,10 юли,,28 юни стар стил Съставено,,1887
8594,Събития 10 юли,28 юни,,стар стил Съставено е четиринадесетото,,1887
8595,Събития 10 юли 28 юни,стар стил,,Съставено е четиринадесетото правителство на,,1887
8596,юни стар стил Съставено е,Правителство на България (14),четиринадесетото правителство,на България начело с Константин,,1887
8597,Съставено е четиринадесетото правителство на,България,,начело с Константин Стоилов 1,,1887
8598,правителство на България начело с,Константин Стоилов,,1 септември 20 август стар,,1887
8599,България начело с Константин Стоилов,1 септември,,20 август стар стил Съставено,,1887
8600,с Константин Стоилов 1 септември,20 август,,стар стил Съставено е петнадесетото,,1887
8601,Стоилов 1 септември 20 август,стар стил,,Съставено е петнадесетото правителство на,,1887
8602,август стар стил Съставено е,Правителство на България (15),петнадесетото правителство,на България начело със Стефан,,1887
8603,правителство на България начело със,Стефан Стамболов,,Създадена е първата грамофонна плоча,,1887
8604,Стефан Стамболов Създадена е първата,грамофонна плоча,,Родени Петър Младенов български художник,,1887
8605,е първата грамофонна плоча Родени,Петър Младенов (художник),Петър Младенов,български художник Тинко Симов български,,1887
8606,Родени Петър Младенов български художник,Тинко Симов,,български анархист 17 януари Никола,,1887
8607,художник Тинко Симов български анархист,17 януари,,Никола Андонов български художник 27,,1887
8608,Симов български анархист 17 януари,Никола Андонов,,български художник 27 януари Евгений,,1887
8609,януари Никола Андонов български художник,27 януари,,Евгений Ващенко руски художник 28,,1887
8610,Андонов български художник 27 януари,Евгений Ващенко,,руски художник 28 януари Артур,,1887
8611,януари Евгений Ващенко руски художник,28 януари,,Артур Рубинщайн полско американски пианист,,1887
8612,Ващенко руски художник 28 януари,Артур Рубинщайн,,полско американски пианист 3 февруари,,1887
8613,Събития,1 октомври,,основан е Софийският университет Св,,1888
8614,Събития 1 октомври основан е,Софийски университет,Софийският университет „Св. Климент Охридски“,Родени Коста Петров деец на,,1888
8615,университет Св Климент Охридски Родени,Коста Петров,,деец на БКП 6 януари,,1888
8616,Коста Петров деец на БКП,6 януари,,Христо Николов Луков български военен,,1888
8617,деец на БКП 6 януари,Христо Николов Луков,,български военен деец и политик,,1888
8618,български военен деец и политик,8 януари,,Борис Верлински съветски шахматист 9,,1888
8619,деец и политик 8 януари,Борис Верлински,,съветски шахматист 9 януари Никола,,1888
8620,януари Борис Верлински съветски шахматист,9 януари,,Никола Антонов български дипломат 11,,1888
8621,Верлински съветски шахматист 9 януари,Никола Антонов,,български дипломат 11 януари Коста,,1888
8622,януари Никола Антонов български дипломат,11 януари,,Коста Янков български комунист 17,,1888
8623,Антонов български дипломат 11 януари,Коста Янков,,български комунист 17 януари Александър,,1888
8624,януари Коста Янков български комунист,17 януари,,Александър Чаянов руски агроном и,,1888
8625,Янков български комунист 17 януари,Александър Чаянов,,руски агроном и писател 24,,1888
8626,Чаянов руски агроном и писател,24 януари,,Вики Баум австрийска писателка 12,,1888
8627,агроном и писател 24 януари,Вики Баум,,австрийска писателка 12 февруари Сейго,,1888
8628,януари Вики Баум австрийска писателка,12 февруари,,Сейго Накано японски политик патриот,,1888
8629,Баум австрийска писателка 12 февруари,Сейго Накано,,японски политик патриот и журналист,,1888
8630,японски политик патриот и журналист,1943,,17 февруари Ханс Блюер германски,,1888
8631,политик патриот и журналист 1943,17 февруари,,Ханс Блюер германски философ 1955,,1888
8632,и журналист 1943 17 февруари,Ханс Блюер,,германски философ 1955 г 25,,1888
8633,в полза на сина си,15 ноември,,Бразилия е обявена за република,,1889
8634,е обявена за република Родени,Файл:Claude Rains in Now Voyager trailer.jpg,мини|120px|[[Клод Рейнс]],Димитър Шишманов български политик и,,1889
8635,Родени мини 120px Клод Рейнс,Димитър Шишманов (политик),Димитър Шишманов,български политик и писател Петко,,1889
8636,Шишманов български политик и писател,Петко Енев,,деец на БКП Трендафил Думбалаков,,1889
8637,Петко Енев деец на БКП,Трендафил Думбалаков,,български военен и революционер Йоанис,,1889
8638,Думбалаков български военен и революционер,Йоанис Кисонергис,,кипърски художник 1 януари Николай,,1889
8639,революционер Йоанис Кисонергис кипърски художник,1 януари,,Николай Райнов български писател 21,,1889
8640,Кисонергис кипърски художник 1 януари,Николай Райнов,,български писател 21 януари Питирим,,1889
8641,януари Николай Райнов български писател,21 януари,,Питирим Сорокин социолог 24 януари,,1889
8642,Райнов български писател 21 януари,Питирим Сорокин,,социолог 24 януари Виктор Ефтимиу,,1889
8643,21 януари Питирим Сорокин социолог,24 януари,,Виктор Ефтимиу румънски писател 30,,1889
8644,Питирим Сорокин социолог 24 януари,Виктор Ефтимиу,,румънски писател 30 януари Георги,,1889
8645,януари Виктор Ефтимиу румънски писател,30 януари,,Георги Попхристов български журналист 5,,1889
8646,Ефтимиу румънски писател 30 януари,Георги Попхристов (журналист),Георги Попхристов,български журналист 5 февруари Станке,,1889
8647,януари Георги Попхристов български журналист,5 февруари,,Станке Димитров български антифашист 7,,1889
8648,Попхристов български журналист 5 февруари,Станке Димитров,,български антифашист 7 февруари Клаудия,,1889
8649,февруари Станке Димитров български антифашист,7 февруари,,Клаудия Муцио италианска оперна певица,,1889
8650,Димитров български антифашист 7 февруари,Клаудия Муцио,,италианска оперна певица 22 февруари,,1889
8651,Клаудия Муцио италианска оперна певица,22 февруари,,Робин Джордж Колингууд британски философ,,1889
8652,италианска оперна певица 22 февруари,Робин Джордж Колингууд,,британски философ и историк 5,,1889
8653,Събития,1 юли,,Първи политически избори в Япония,,1890
8654,Първи политически избори в Япония,3 юли,,Айдахо става 43 тия щат,,1890
8655,избори в Япония 3 юли,Айдахо,,става 43 тия щат на,,1890
8656,43 тия щат на САЩ,10 юли,,Уайоминг става 44 тия щат,,1890
8657,щат на САЩ 10 юли,Уайоминг,,става 44 тия щат на,,1890
8658,44 тия щат на САЩ,1 октомври,,Създаден е националният парк Йосемити,,1890
8659,октомври Създаден е националният парк,Йосемити (национален парк),Йосемити,Родени Илия Дигалов български революционер,,1890
8660,е националният парк Йосемити Родени,Илия Дигалов,,български революционер Георги Въндев български,,1890
8661,Родени Илия Дигалов български революционер,Георги Въндев,,български революционер 9 януари Карел,,1890
8662,революционер Георги Въндев български революционер,9 януари,,Карел Чапек чешки писател 9,,1890
8663,Въндев български революционер 9 януари,Карел Чапек,,чешки писател 9 януари Курт,,1890
8664,Чапек чешки писател 9 януари,Курт Тухолски,,германски поет и публицист 16,,1890
8665,Тухолски германски поет и публицист,16 януари,,Асен фон Хартенау граф Хартенау,,1890
8666,поет и публицист 16 януари,Асен фон Хартенау,,граф Хартенау 19 януари Иван,,1890
8667,Асен фон Хартенау граф Хартенау,19 януари,,Иван Зонков деец на БКП,,1890
8668,Хартенау граф Хартенау 19 януари,Иван Зонков,,деец на БКП 20 януари,,1890
8669,Иван Зонков деец на БКП,20 януари,,Яко Доросиев 4 февруари Първан,,1890
8670,деец на БКП 20 януари,Яко Доросиев,,4 февруари Първан Драганов български,,1890
8671,БКП 20 януари Яко Доросиев,4 февруари,,Първан Драганов български офицер политик,,1890
8672,януари Яко Доросиев 4 февруари,Първан Драганов,,български офицер политик и дипломат,,1890
8673,Създаден е баскетболът от американеца,Джеймс Нейсмит,,7 септември село Бяла Област,,1891
8674,баскетболът от американеца Джеймс Нейсмит,7 септември,,село Бяла Област Русе е,,1891
8675,Джеймс Нейсмит 7 септември село,Бяла (Област Русе),,е обявено за град от,,1891
8676,е обявено за град от,Народното събрание,,по предложение на народния представител,,1891
8677,на Бяла Ангел Крушков Родени,"Файл:Petko Petkov Monument, Sofia, Bulgaria.jpg",мини|90px|Петко Д. Петков,мини 90px Михаил Булгаков мини,,1891
8678,мини 90px Петко Д Петков,Файл:Bulgakov1910s.jpg,мини|90px|Михаил Булгаков,мини 90px Агата Кристи мини,,1891
8679,Петков мини 90px Михаил Булгаков,Файл:Agatha Christie.png,мини|90px|Агата Кристи,мини 90px Иван Багрянов Васил,,1891
8680,Булгаков мини 90px Агата Кристи,Файл:Ivan Bagrianov.jpg,мини|90px|Иван Багрянов,Васил Митаков български политик Алеко,,1891
8681,Кристи мини 90px Иван Багрянов,Васил Митаков,,български политик Алеко Василев български,,1891
8682,Багрянов Васил Митаков български политик,Алеко Василев,,български революционер Дончо Христов български,,1891
8683,политик Алеко Василев български революционер,Дончо Христов,,български революционер Рафаил Жечев български,,1891
8684,революционер Дончо Христов български революционер,Рафаил Жечев,,български военен деец 15 януари,,1891
8685,Рафаил Жечев български военен деец,15 януари,,Осип Манделщам руски поет и,,1891
8686,български военен деец 15 януари,Осип Манделщам,,руски поет и преводач 23,,1891
8687,Манделщам руски поет и преводач,23 януари,,Антонио Грамши италиански писател и,,1891
8688,поет и преводач 23 януари,Антонио Грамши,,италиански писател и политик 24,,1891
8689,Грамши италиански писател и политик,24 януари,,Иван Батаклиев български географ и,,1891
8690,писател и политик 24 януари,Иван Батаклиев,,български географ и историк 26,,1891
8691,Батаклиев български географ и историк,26 януари,,Димитър Гюдженов български художник 28,,1891
8692,географ и историк 26 януари,Димитър Гюдженов,,български художник 28 януари Никола,,1891
8693,Събития,Рудолф Дизел,,патентова дизеловия двигател В Пловдив,,1892
8694,Събития Рудолф Дизел патентова,дизелов двигател,дизеловия двигател,В Пловдив е създадена първата,,1892
8695,Дизел патентова дизеловия двигател В,Пловдив,,е създадена първата фабрика за,,1892
8696,фабрика за ел крушки Родени,Александрос Сволос,,гръцки политик и учен Алфред,,1892
8697,Сволос гръцки политик и учен,Алфред Хейдок,,руски писател Пелжидийн Генден монголски,,1892
8698,учен Алфред Хейдок руски писател,Пелжидийн Генден,,монголски политик 3 януари Джон,,1892
8699,писател Пелжидийн Генден монголски политик,3 януари,,Джон Роналд Руел Толкин британски,,1892
8700,Генден монголски политик 3 януари,Джон Роналд Руел Толкин,,британски писател и филолог 15,,1892
8701,Толкин британски писател и филолог,15 януари,,Уилям Бюдайн американски режисьор 22,,1892
8702,писател и филолог 15 януари,Уилям Бюдайн,,американски режисьор 22 януари Марсел,,1892
8703,януари Уилям Бюдайн американски режисьор,22 януари,,Марсел Дасо френски авиоконструктор 1,,1892
8704,Бюдайн американски режисьор 22 януари,Марсел Дасо,,френски авиоконструктор 1 февруари Гаврил,,1892
8705,януари Марсел Дасо френски авиоконструктор,1 февруари,,Гаврил Генов български политик 21,,1892
8706,Дасо френски авиоконструктор 1 февруари,Гаврил Генов,,български политик 21 февруари Хари,,1892
8707,февруари Гаврил Генов български политик,21 февруари,,Хари Стек Съливан американски психиатър,,1892
8708,Генов български политик 21 февруари,Хари Стек Съливан,,американски психиатър 24 февруари Владимир,,1892
8709,Хари Стек Съливан американски психиатър,24 февруари,,Владимир Стойчев Български военен и,,1892
8710,Съливан американски психиатър 24 февруари,Владимир Стойчев,,Български военен и спортен деятел,,1892
8711,Български военен и спортен деятел,16 март,,Сесар Вайехо перуански поет 22,,1892
8712,и спортен деятел 16 март,Сесар Вайехо,,перуански поет 22 март Йоханес,,1892
8713,изменена за пръв път Родени,Файл:Mae West LAT.jpg,мини|80px|Мей Уест,Димитър Съсълов български историк Иван,,1893
8714,Родени мини 80px Мей Уест,Димитър Съсълов (историк),Димитър Съсълов,български историк Иван Данчов български,,1893
8715,Уест Димитър Съсълов български историк,Иван Данчов (архитект),Иван Данчов,български архитект Иван Трифонов български,,1893
8716,историк Иван Данчов български архитект,Иван Трифонов,,български военен Петър Кантарджиев български,,1893
8717,архитект Иван Трифонов български военен,Петър Кантарджиев,,български архитект 5 януари Парамаханса,,1893
8718,военен Петър Кантарджиев български архитект,5 януари,,Парамаханса Йогананда индийски гуру 1952,,1893
8719,Кантарджиев български архитект 5 януари,Парамаханса Йогананда,,индийски гуру 1952 г 27,,1893
8720,януари Парамаханса Йогананда индийски гуру,1952,,г 27 януари Петър Золотович,,1893
8721,Йогананда индийски гуру 1952 г,27 януари,,Петър Золотович български певец 3,,1893
8722,гуру 1952 г 27 януари,Петър Золотович,,български певец 3 февруари Гастон,,1893
8723,януари Петър Золотович български певец,3 февруари,,Гастон Жулиа френски математик 13,,1893
8724,Золотович български певец 3 февруари,Гастон Жулиа,,френски математик 13 февруари Ана,,1893
8725,февруари Гастон Жулиа френски математик,13 февруари,,Ана Паукер румънски политик 16,,1893
8726,Жулиа френски математик 13 февруари,Ана Паукер,,румънски политик 16 февруари Михаил,,1893
8727,февруари Ана Паукер румънски политик,16 февруари,,Михаил Тухачевски Руски военачалник маршал,,1893
8728,Паукер румънски политик 16 февруари,Михаил Тухачевски,,Руски военачалник маршал на СССР,,1893
8729,Руски военачалник маршал на СССР,21 февруари,,Константин Муравиев български политик 7,,1893
8730,маршал на СССР 21 февруари,Константин Муравиев,,български политик 7 март Райко,,1893
8731,февруари Константин Муравиев български политик,7 март,,Райко Алексиев художник карикатурист публицист,,1893
8732,Муравиев български политик 7 март,Райко Алексиев,,художник карикатурист публицист 27 март,,1893
8733,Събития,31 май,,19 май стар стил Съставено,,1894
8734,Събития 31 май,19 май,,стар стил Съставено е шестнадесетото,,1894
8735,Събития 31 май 19 май,стар стил,,Съставено е шестнадесетото правителство на,,1894
8736,май стар стил Съставено е,Правителство на България (16),шестнадесетото правителство,на България начело с Константин,,1894
8737,Съставено е шестнадесетото правителство на,България,,начело с Константин Стоилов 21,,1894
8738,правителство на България начело с,Константин Стоилов,,21 декември 9 декември стар,,1894
8739,България начело с Константин Стоилов,21 декември,,9 декември стар стил Съставено,,1894
8740,с Константин Стоилов 21 декември,9 декември,,стар стил Съставено е седемнадесетото,,1894
8741,Стоилов 21 декември 9 декември,стар стил,,Съставено е седемнадесетото правителство на,,1894
8742,декември стар стил Съставено е,Правителство на България (17),седемнадесетото правителство,на България начело с Константин,,1894
8743,културно национална автономия за Македония,26 май,,Емануел Ласкер става вторият световен,,1894
8744,май Емануел Ласкер става вторият,Световно първенство по шахмат,световен шампион по шахмат,1894 Работещият във Варна швейцарски,,1894
8745,вторият световен шампион по шахмат,1894,,Работещият във Варна швейцарски учител,,1894
8746,футболна топка в България Родени,Файл:Jack Benny - 1964.jpg,мини|120px|[[Джак Бени]],мини 120px Уолтър Бренан Борис,,1894
8747,Родени мини 120px Джак Бени,Файл:Walter Brennan in Meet John Doe trailer.jpg,мини|120px|[[Уолтър Бренан]],Борис Шаранков български футболист Надежда,,1894
8748,Бени мини 120px Уолтър Бренан,?,,Борис Шаранков български футболист Надежда,,1894
8749,Бени мини 120px Уолтър Бренан,Борис Шаранков,,български футболист Надежда Станчова Петър,,1894
8750,Бренан Борис Шаранков български футболист,Надежда Станчова,,Петър Николов български фармаколог 1990,,1894
8751,Шаранков български футболист Надежда Станчова,Петър Николов (фармаколог),Петър Николов,български фармаколог 1990 Щерю Божинов,,1894
8752,Станчова Петър Николов български фармаколог,1990,,Щерю Божинов български военен деец,,1894
8753,Събития,21 март,,Пред заседанието на дружеството за,,1895
8754,на работното време юли август,Четническа акция на Македонския комитет,,11 юни Създадено първото Българско,,1895
8755,Четническа акция на Македонския комитет,11 юни,,Създадено първото Българско икономическо дружество,,1895
8756,Българско икономическо дружество Формулиран е,Критерий за устойчивост на Хурвиц,критерият за устойчивост на Хурвиц,Родени 1 януари Едгар Хувър,,1895
8757,за устойчивост на Хурвиц Родени,1 януари,,Едгар Хувър директор на ФБР,,1895
8758,на Хурвиц Родени 1 януари,Едгар Хувър,,директор на ФБР 1972 г,,1895
8759,Едгар Хувър директор на ФБР,1972,,г 1 януари Абдулла III,,1895
8760,ФБР 1972 г 1 януари,Абдулла III ал-Салем ал-Сабах,,емир на Кувейт 1965 г,,1895
8761,ал Сабах емир на Кувейт,1965,,г 1 януари Амин ал,,1895
8762,Кувейт 1965 г 1 януари,Амин ал Хусейни,,главен мюфтия на Ерусалим 1974,,1895
8763,януари Амин ал Хусейни главен,мюфтия,,на Ерусалим 1974 г 15,,1895
8764,ал Хусейни главен мюфтия на,Ерусалим,,1974 г 15 януари Гео,,1895
8765,Хусейни главен мюфтия на Ерусалим,1974,,г 15 януари Гео Милев,,1895
8766,мюфтия на Ерусалим 1974 г,15 януари,,Гео Милев български поет 1925,,1895
8767,Ерусалим 1974 г 15 януари,Гео Милев,,български поет 1925 г 16,,1895
8768,януари Гео Милев български поет,1925,,г 16 януари Еврипидис Бакирдзис,,1895
8769,Милев български поет 1925 г,16 януари,,Еврипидис Бакирдзис гръцки политик 1947,,1895
8770,поет 1925 г 16 януари,Еврипидис Бакирдзис,,гръцки политик 1947 г 10,,1895
8771,януари Еврипидис Бакирдзис гръцки политик,1947,,г 10 февруари Цвятко Радойнов,,1895
8772,Бакирдзис гръцки политик 1947 г,10 февруари,,Цвятко Радойнов деец на БКП,,1895
8773,Събития Тогава се провеждат,Олимпийски игри,,в Атина Гърция За пръв,,1896
8774,път от 366 година Родени,Борис Богданов,,български политик Фердинанд Хоринек български,,1896
8775,Родени Борис Богданов български политик,Фердинанд Хоринек,,български шахматист Апостолос Николаидис гръцки,,1896
8776,политик Фердинанд Хоринек български шахматист,Апостолос Николаидис,,гръцки спортист Велко Спанчев български,,1896
8777,шахматист Апостолос Николаидис гръцки спортист,Велко Спанчев,,български икономист Симеон Лазаров журналист,,1896
8778,спортист Велко Спанчев български икономист,Симеон Лазаров,,журналист писател общественик тракийски деятел,,1896
8779,журналист писател общественик тракийски деятел,Стефан Чумпалов,,български футболист 2 януари Дзига,,1896
8780,деятел Стефан Чумпалов български футболист,2 януари,,Дзига Вертов руски режисьор 6,,1896
8781,Чумпалов български футболист 2 януари,Дзига Вертов,,руски режисьор 6 януари Иван,,1896
8782,януари Дзига Вертов руски режисьор,6 януари,,Иван Маринов български военен деец,,1896
8783,Вертов руски режисьор 6 януари,Иван Маринов (офицер),Иван Маринов,български военен деец 11 януари,,1896
8784,Иван Маринов български военен деец,11 януари,,Иван Винаров съветски военен разузнавач,,1896
8785,български военен деец 11 януари,Иван Винаров,,съветски военен разузнавач и български,,1896
8786,военен разузнавач и български генерал,14 февруари,,Георги Шейтанов български анархист 18,,1896
8787,и български генерал 14 февруари,Георги Шейтанов (анархист),Георги Шейтанов,български анархист 18 февруари Андре,,1896
8788,февруари Георги Шейтанов български анархист,18 февруари,,Андре Бретон френски поет и,,1896
8789,Шейтанов български анархист 18 февруари,Андре Бретон,,френски поет и писател 19,,1896
8790,Бретон френски поет и писател,19 февруари,,Кирил Янчулев български военен деец,,1896
8791,поет и писател 19 февруари,Кирил Янчулев,,български военен деец 24 февруари,,1896
8792,Кирил Янчулев български военен деец,24 февруари,,Григор Агаронян арменски скулптор 25,,1896
8793,Събития Публикуван за първи път,роман,,на Брам Стокър Дракула известен,,1897
8794,за първи път романа на,Брам Стокър,,Дракула известен също като Граф,,1897
8795,път романа на Брам Стокър,Дракула,,известен също като Граф Дракула,,1897
8796,Дракула Основаван е футболен клуб,ФК Ювентус,Ювентус,Родени Алекси Алексиев български футболист,,1897
8797,е футболен клуб Ювентус Родени,?,,Алекси Алексиев български футболист Стоян,,1897
8798,е футболен клуб Ювентус Родени,Алекси Алексиев,,български футболист Стоян Мандалов български,,1897
8799,Родени Алекси Алексиев български футболист,Стоян Мандалов,,български революционер 2 януари Иван,,1897
8800,футболист Стоян Мандалов български революционер,2 януари,,Иван Странски български физикохимик 6,,1897
8801,Мандалов български революционер 2 януари,Иван Странски (физикохимик),Иван Странски,български физикохимик 6 януари Ференц,,1897
8802,януари Иван Странски български физикохимик,6 януари,,Ференц Салаши унгарски държавник 10,,1897
8803,Странски български физикохимик 6 януари,Ференц Салаши,,унгарски държавник 10 януари Методи,,1897
8804,януари Ференц Салаши унгарски държавник,10 януари,,Методи Шаторов български комунистически деец,,1897
8805,Салаши унгарски държавник 10 януари,Методи Шаторов,,български комунистически деец и партизанин,,1897
8806,български комунистически деец и партизанин,15 януари,,Георги Дреников Командващ Въздушни войски,,1897
8807,деец и партизанин 15 януари,Георги Дреников,,Командващ Въздушни войски 24 януари,,1897
8808,Георги Дреников Командващ Въздушни войски,24 януари,,Симеон Коков български духовник и,,1897
8809,Командващ Въздушни войски 24 януари,Симеон Коков,,български духовник и монах 4,,1897
8810,Коков български духовник и монах,4 февруари,,Лудвиг Ерхард германски политик 18,,1897
8811,духовник и монах 4 февруари,Лудвиг Ерхард,,германски политик 18 февруари Иван,,1897
8812,февруари Лудвиг Ерхард германски политик,18 февруари,,Иван Милев български художник 19,,1897
8813,Събития,Уилям Рамзи,,и Морис Травърс откриват химичния,,1898
8814,Събития Уилям Рамзи и,Морис Травърс,,откриват химичния елемент неон Ne,,1898
8815,Рамзи и Морис Травърс откриват,химичен елемент,химичния елемент,неон Ne Родени Константин Чилов,,1898
8816,Морис Травърс откриват химичния елемент,неон,,Ne Родени Константин Чилов български,,1898
8817,химичния елемент неон Ne Родени,Константин Чилов,,български лекар Албърт Лутули южноафрикански,,1898
8818,Родени Константин Чилов български лекар,Албърт Лутули,,южноафрикански политик Едуард Холбрук Дерик,,1898
8819,лекар Албърт Лутули южноафрикански политик,Едуард Холбрук Дерик,,Йосиф Варненскопреславски български духовник Стоян,,1898
8820,южноафрикански политик Едуард Холбрук Дерик,Йосиф Варненскопреславски,,български духовник Стоян Георгиев български,,1898
8821,Дерик Йосиф Варненскопреславски български духовник,Стоян Георгиев (Драгобраще),Стоян Георгиев,български революционер 1 януари Ламар,,1898
8822,духовник Стоян Георгиев български революционер,1 януари,,Ламар български поет и писател,,1898
8823,Георгиев български революционер 1 януари,Ламар,,български поет и писател 10,,1898
8824,Ламар български поет и писател,10 януари,,Зигфрид Расп немски генерал от,,1898
8825,поет и писател 10 януари,Зигфрид Расп,,немски генерал от пехотата 13,,1898
8826,Расп немски генерал от пехотата,13 януари,,Николай Фол български писател и,,1898
8827,генерал от пехотата 13 януари,Николай Фол,,български писател и режисьор 15,,1898
8828,Фол български писател и режисьор,15 януари,,Дико Илиев български композитор 17,,1898
8829,писател и режисьор 15 януари,Дико Илиев,,български композитор 17 януари Евдокия,,1898
8830,януари Дико Илиев български композитор,17 януари,,Евдокия българска княгиня 23 януари,,1898
8831,Илиев български композитор 17 януари,Евдокия (княгиня),Евдокия,българска княгиня 23 януари Сергей,,1898
8832,17 януари Евдокия българска княгиня,23 януари,,Сергей Айзенщайн руски кинорежисьор и,,1898
8833,Събития,31 януари,,18 януари стар стил Съставено,,1899
8834,Събития 31 януари,18 януари,,стар стил Съставено е осемнадесетото,,1899
8835,Събития 31 януари 18 януари,стар стил,,Съставено е осемнадесетото правителство на,,1899
8836,януари стар стил Съставено е,Правителство на България (18),осемнадесетото правителство,на България начело с Димитър,,1899
8837,Съставено е осемнадесетото правителство на,България,,начело с Димитър Греков 1,,1899
8838,правителство на България начело с,Димитър Греков,,1 юли Основан е ТШГ,,1899
8839,България начело с Димитър Греков,1 юли,,Основан е ТШГ 1899 Хофенхайм,,1899
8840,Греков 1 юли Основан е,ТШГ 1899 Хофенхайм,,13 октомври 1 октомври стар,,1899
8841,Основан е ТШГ 1899 Хофенхайм,13 октомври,,1 октомври стар стил Съставено,,1899
8842,ТШГ 1899 Хофенхайм 13 октомври,1 октомври,,стар стил Съставено е деветнадесетото,,1899
8843,Хофенхайм 13 октомври 1 октомври,стар стил,,Съставено е деветнадесетото правителство на,,1899
8844,октомври стар стил Съставено е,Правителство на България (19),деветнадесетото правителство,на България начело с Тодор,,1899
8845,правителство на България начело с,Тодор Иванчов,,29 ноември Основан е ФК,,1899
8846,България начело с Тодор Иванчов,29 ноември,,Основан е ФК Барселона Родени,,1899
8847,Иванчов 29 ноември Основан е,ФК Барселона,,Родени мини 100п Джеймс Кагни,,1899
8848,Основан е ФК Барселона Родени,Файл:James cagney promo photo.jpg,мини|100п|Джеймс Кагни,Константинос Цацос гръцки политик Христо,,1899
8849,Родени мини 100п Джеймс Кагни,Константинос Цацос,,гръцки политик Христо Гюлеметов деец,,1899
8850,Кагни Константинос Цацос гръцки политик,Христо Гюлеметов,,деец на БКП Анастас Петров,,1899
8851,Христо Гюлеметов деец на БКП,Анастас Петров,,български балетист Жан Фонтен белгийски,,1899
